x = 10  y = 0
x = 11.0184  y = 1.07557
x = 12.0546  y = 2.24519
x = 13.1085  y = 3.50843
x = 14.1794  y = 4.86398
x = 15.2663  y = 6.30919
x = 16.3671  y = 7.83955
x = 17.479  y = 9.44823
x = 18.5979  y = 11.1255
x = 19.7184  y = 12.8586
x = 20.8338  y = 14.6318
x = 23.0204  y = 18.2297
x = 24.0768  y = 20.0203
x = 25.0996  y = 21.7856
x = 26.0835  y = 23.5145
x = 27.0248  y = 25.2009
x = 27.922  y = 26.8447
x = 28.7759  y = 28.4521
x = 30.3666  y = 31.609
x = 31.8291  y = 34.7976
x = 32.5213  y = 36.4426
x = 33.1895  y = 38.1353
x = 33.8317  y = 39.8788
x = 34.4433  y = 41.6688
x = 35.0174  y = 43.4955
x = 35.5462  y = 45.3453
x = 36.0215  y = 47.2029
x = 36.4361  y = 49.0529
x = 36.7842  y = 50.8822
x = 37.0631  y = 52.6812
x = 37.2737  y = 54.4465
x = 37.4205  y = 56.1806
x = 37.5115  y = 57.8912
x = 37.5566  y = 59.5884
x = 37.5522  y = 62.9867
x = 37.4876  y = 66.4403
x = 37.4105  y = 69.94
x = 37.3257  y = 73.3998
x = 37.2727  y = 75.0804
x = 37.2058  y = 76.7126
x = 37.119  y = 78.2906
x = 37.0061  y = 79.8147
x = 36.8611  y = 81.2911
x = 36.6785  y = 82.7304
x = 36.4536  y = 84.1441
x = 36.1833  y = 85.5432
x = 35.8656  y = 86.9355
x = 35.5007  y = 88.3232
x = 35.0907  y = 89.7023
x = 34.639  y = 91.064
x = 34.1501  y = 92.3963
x = 33.6285  y = 93.6861
x = 33.0788  y = 94.9204
x = 32.5046  y = 96.089
x = 31.9083  y = 97.1845
x = 31.2917  y = 98.2028
x = 30.6555  y = 99.1415
x = 30  y = 100
x = 52.7662  y = 0
x = 53.7668  y = 0.849237
x = 54.7812  y = 1.77592
x = 55.8089  y = 2.77887
x = 56.849  y = 3.85483
x = 57.8993  y = 4.99747
x = 58.9566  y = 6.19629
x = 61.0715  y = 8.69715
x = 63.146  y = 11.2095
x = 65.141  y = 13.6275
x = 67.0527  y = 15.9808
x = 67.9877  y = 17.1841
x = 68.9172  y = 18.4405
x = 69.8472  y = 19.7731
x = 70.7823  y = 21.1971
x = 71.7252  y = 22.7161
x = 72.6759  y = 24.3228
x = 73.6323  y = 26.0022
x = 74.5906  y = 27.7344
x = 76.4915  y = 31.272
x = 78.3252  y = 34.7975
x = 79.1978  y = 36.5378
x = 80.0305  y = 38.2656
x = 80.8161  y = 39.9876
x = 81.5481  y = 41.7122
x = 82.2212  y = 43.4483
x = 82.8314  y = 45.2033
x = 83.3764  y = 46.9818
x = 83.8554  y = 48.7856
x = 84.2689  y = 50.6141
x = 84.618  y = 52.4649
x = 84.9043  y = 54.3344
x = 85.1295  y = 56.219
x = 85.2947  y = 58.115
x = 85.4004  y = 60.0194
x = 85.447  y = 61.9298
x = 85.4342  y = 63.8438
x = 85.3627  y = 65.7586
x = 85.2334  y = 67.6704
x = 85.0488  y = 69.5739
x = 84.8126  y = 71.4619
x = 84.5307  y = 73.3249
x = 84.2102  y = 75.1518
x = 83.8586  y = 76.9316
x = 83.483  y = 78.6549
x = 83.0892  y = 80.3148
x = 82.6808  y = 81.9089
x = 82.2579  y = 83.4406
x = 81.8175  y = 84.9194
x = 80.8583  y = 87.7783
x = 80.3236  y = 89.1934
x = 79.7414  y = 90.6216
x = 79.1052  y = 92.0767
x = 78.4103  y = 93.5685
x = 77.6538  y = 95.1036
x = 76.8337  y = 96.6861
x = 75.9492  y = 98.318
x = 75  y = 100
